Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 2nd sem (credited),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,target
0,7,5,1,1,0,122.0,12,9,9,127.3,1,0,1,1,0,20.0,0,0,12.2,10.8,1.4,1.74,0
0,5,1,10,1,0,160.0,0,2,3,142.5,1,0,0,1,0,19.0,0,6,13.66666667,13.9,-0.3,0.79,2
0,0,5,4,1,0,122.0,21,26,9,124.8,1,0,0,1,0,19.0,0,0,12.2,10.8,1.4,1.74,0
0,7,2,14,1,0,122.0,22,26,3,119.6,1,0,1,0,0,20.0,0,10,12.4,9.4,-0.8,-3.12,2
1,11,1,2,0,0,133.1,21,27,9,141.5,0,0,1,0,0,20.0,0,6,13.0,13.9,-0.3,0.79,2
1,11,1,16,0,11,133.1,21,26,7,114.8,0,1,1,1,0,20.0,0,17,11.5,16.2,0.3,-0.92,2
0,0,1,11,1,0,142.0,12,27,10,128.4,1,0,1,0,1,18.0,0,8,14.345,15.5,2.8,-4.06,2
0,8,4,10,1,0,119.0,21,26,9,113.1,1,0,0,1,0,22.0,0,5,12.2,15.5,2.8,-4.06,0
0,0,3,9,1,0,137.0,0,0,9,129.3,0,0,1,0,1,21.0,0,7,14.14285714,16.2,0.3,-0.92,2
0,0,1,9,1,0,138.0,0,13,7,123.0,1,1,0,0,0,18.0,0,14,13.5,8.9,1.4,3.51,0
0,0,1,13,1,0,139.0,22,13,7,130.6,1,0,1,0,0,18.0,0,7,14.2,13.9,-0.3,0.79,2
0,0,1,11,1,0,136.0,12,27,9,119.3,1,0,1,0,1,18.0,0,8,13.21428571,12.7,3.7,-1.7,2
0,0,2,15,1,0,133.0,12,26,9,130.2,1,0,1,0,0,19.0,0,0,12.2,12.7,3.7,-1.7,0
0,16,1,10,1,15,110.0,0,0,7,111.8,1,0,1,0,1,21.0,0,8,11.0,8.9,1.4,3.51,2
0,0,1,5,1,0,149.0,22,26,5,137.1,1,0,1,0,1,18.0,0,5,12.0,10.8,1.4,1.74,2
0,0,1,14,1,0,127.0,12,26,3,120.7,1,0,1,0,0,20.0,0,7,12.2,15.5,2.8,-4.06,0
0,8,1,9,1,0,137.0,12,27,8,137.4,1,0,1,0,0,18.0,0,14,11.0,10.8,1.4,1.74,1
0,7,2,11,1,0,135.0,12,0,4,127.3,1,0,1,0,0,18.0,0,8,14.545,15.5,2.8,-4.06,2
0,0,1,7,1,0,137.0,2,13,5,136.3,1,0,1,0,0,20.0,0,8,12.25,10.8,1.4,1.74,2
0,0,1,15,1,0,140.0,12,13,7,124.6,1,0,1,0,0,18.0,0,8,13.5,16.2,0.3,-0.92,1
0,0,3,1,1,0,122.0,0,0,8,120.3,0,0,1,0,1,21.0,0,0,12.2,11.1,0.6,2.02,2
0,8,4,12,1,0,127.0,0,27,7,121.8,1,0,1,0,0,20.0,0,9,11.425,12.7,3.7,-1.7,1
0,0,4,11,1,0,142.0,12,13,1,125.5,1,0,1,0,0,18.0,0,12,12.85714286,12.7,3.7,-1.7,2
0,0,4,13,1,0,125.0,0,27,7,114.9,1,0,1,0,1,19.0,0,7,12.28571429,11.1,0.6,2.02,2
0,0,1,11,1,0,126.0,12,13,7,123.9,0,0,1,0,0,19.0,0,9,14.11428571,11.1,0.6,2.02,2
0,0,1,9,1,0,151.0,12,27,9,157.0,1,1,1,0,1,18.0,0,12,11.0,7.6,2.6,0.32,1
0,7,2,9,1,0,115.0,12,27,8,116.4,1,0,1,0,0,21.0,0,9,13.28571429,16.2,0.3,-0.92,2
0,0,1,5,1,0,138.0,12,13,3,131.0,1,0,1,0,0,18.0,0,7,13.0,9.4,-0.8,-3.12,1
0,0,1,8,1,0,135.0,12,0,9,122.1,1,0,1,0,0,20.0,0,6,12.33333333,16.2,0.3,-0.92,2
0,7,2,11,1,0,127.0,2,2,10,118.8,1,0,1,1,0,19.0,0,7,13.71666667,16.2,0.3,-0.92,1
0,14,1,3,1,13,150.0,3,4,2,150.0,0,0,1,1,0,21.0,0,17,10.57142857,16.2,0.3,-0.92,1
0,15,1,4,1,0,125.0,26,2,124,130.0,1,0,1,1,0,20.0,0,9,13.4,8.9,1.4,3.51,2
0,0,1,8,1,0,143.0,0,0,6,138.8,0,0,0,1,0,18.0,0,8,13.5,8.9,1.4,3.51,1
0,8,1,2,0,0,138.0,12,0,5,134.5,1,0,1,0,0,19.0,0,8,14.375,12.4,0.5,1.79,2
0,0,1,16,0,0,130.0,1,26,9,131.4,0,0,1,1,0,34.0,0,9,13.42857143,13.9,-0.3,0.79,2
0,11,1,0,1,0,130.0,22,26,6,102.5,0,1,0,1,0,20.0,0,7,10.0,8.9,1.4,3.51,0
0,11,1,6,1,7,133.1,18,26,0,128.8,1,0,1,1,0,20.0,0,0,12.2,7.6,2.6,0.32,0
0,13,1,8,1,0,140.0,21,26,6,122.9,0,0,1,0,0,20.0,0,8,12.0,16.2,0.3,-0.92,0
3,11,1,16,0,0,120.0,12,13,3,113.9,1,0,1,0,0,20.0,0,5,11.6,7.6,2.6,0.32,2
0,14,1,7,1,13,120.0,3,3,6,120.0,0,1,0,0,0,20.0,1,11,12.0,12.4,0.5,1.79,0
0,0,5,14,1,0,126.0,2,2,2,121.1,0,1,1,0,0,18.0,0,5,12.2,12.7,3.7,-1.7,0
0,0,2,8,1,0,133.0,2,13,7,120.4,1,0,1,0,0,22.0,0,5,15.8,8.9,1.4,3.51,2
0,0,6,11,1,0,103.0,0,2,2,100.6,1,0,1,0,0,22.0,0,9,14.34285714,11.1,0.6,2.02,2
0,7,1,14,1,0,120.0,0,27,5,121.4,0,0,0,0,0,20.0,0,7,13.8,12.4,0.5,1.79,0
0,11,1,16,0,0,133.1,21,26,9,109.7,0,0,1,0,0,29.0,0,0,12.2,16.2,0.3,-0.92,0
0,7,1,16,0,0,154.0,22,27,5,134.1,0,0,1,0,0,24.0,0,11,14.33333333,7.6,2.6,0.32,1
0,7,2,9,1,0,130.0,12,13,9,127.6,1,0,1,0,0,18.0,0,8,13.2,11.1,0.6,2.02,2
0,7,6,11,1,0,132.0,21,13,7,132.4,1,0,1,0,1,22.0,0,9,13.77142857,11.1,0.6,2.02,2
0,14,1,2,0,13,130.0,0,13,9,133.4,0,0,1,0,1,21.0,2,7,13.28571429,12.4,0.5,1.79,2
0,0,1,9,1,0,139.0,21,27,9,126.1,0,0,1,0,1,19.0,0,7,12.83333333,12.7,3.7,-1.7,2
0,11,1,10,1,0,130.0,12,27,7,113.5,0,0,1,0,1,24.0,0,6,14.16666667,12.4,0.5,1.79,2
0,0,1,11,1,0,139.0,21,27,6,121.3,1,0,1,0,1,19.0,0,10,11.83333333,9.4,-0.8,-3.12,1
0,0,1,14,1,0,127.0,0,13,7,121.8,1,0,1,0,1,20.0,0,12,11.0,9.4,-0.8,-3.12,1
0,0,3,7,1,0,133.1,21,26,90,159.3,0,0,1,0,0,19.0,0,5,15.8,7.6,2.6,0.32,2
0,11,1,16,0,0,130.0,22,27,9,120.0,0,0,1,0,0,27.0,0,10,11.0,9.4,-0.8,-3.12,0
0,0,1,11,1,0,130.0,0,13,5,129.1,1,0,1,0,0,18.0,0,10,13.595,15.5,2.8,-4.06,2
